               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089617,            0.030165,            0.036386,          0.00029803,             0.16923,          0.00022055,          4.4308e-05,             0.10039,            0.024234,            0.037178,           0.0032738,           0.0032738,            0.070536
                   1,            0.064054,            0.025229,            0.025678,             0.16075,             0.16557,            0.076161,            0.013137,            0.081997,            0.018641,            0.029771,           0.0065663,           0.0065663,            0.040495
                   2,            0.056095,            0.015755,            0.009709,             0.56661,             0.64693,             0.63931,             0.23255,            0.053066,            0.010934,           0.0081664,           0.0098175,           0.0098175,            0.010413
                   3,            0.045992,            0.011703,           0.0068778,             0.79278,             0.67894,             0.75915,             0.32714,            0.049965,           0.0094104,           0.0057811,           0.0098144,           0.0098144,           0.0098144
                   4,            0.039518,            0.010145,           0.0054494,             0.91621,              0.8761,             0.93919,             0.49707,            0.035666,            0.006851,           0.0034118,           0.0098144,           0.0098144,           0.0098144
                   5,            0.035877,           0.0092455,            0.004479,             0.93213,              0.9109,              0.9641,             0.52842,             0.03289,           0.0062404,           0.0032081,           0.0097525,           0.0097525,           0.0097525
                   6,            0.033528,           0.0086976,            0.003628,             0.96619,             0.91921,             0.95674,             0.61482,            0.029141,           0.0063191,           0.0036766,           0.0096906,           0.0096906,           0.0096906
                   7,            0.030984,           0.0083942,           0.0036778,             0.88621,             0.72879,             0.83901,             0.47776,            0.038452,           0.0076146,            0.013809,           0.0096288,           0.0096288,           0.0096288
                   8,            0.030432,           0.0079374,           0.0034023,             0.97669,              0.9571,             0.98493,             0.65913,             0.02669,           0.0054408,           0.0022807,           0.0095669,           0.0095669,           0.0095669
                   9,            0.028808,           0.0076622,            0.002519,             0.96983,             0.97504,             0.98391,             0.67988,            0.025178,           0.0052305,           0.0023095,            0.009505,            0.009505,            0.009505
                  10,            0.028085,           0.0075852,           0.0025515,             0.98719,             0.97375,             0.98642,             0.69521,            0.023359,           0.0048669,           0.0020857,           0.0094431,           0.0094431,           0.0094431
                  11,            0.026727,           0.0072799,           0.0024542,             0.98218,              0.9661,             0.98516,             0.67825,            0.023679,           0.0050695,           0.0021086,           0.0093813,           0.0093813,           0.0093813
                  12,            0.025899,           0.0071055,           0.0023342,             0.99257,               0.971,             0.98716,             0.71021,            0.023106,           0.0049049,           0.0018865,           0.0093194,           0.0093194,           0.0093194
                  13,            0.025294,           0.0070279,           0.0023168,             0.99061,             0.96484,             0.98672,             0.71509,            0.022316,           0.0048708,           0.0019929,           0.0092575,           0.0092575,           0.0092575
                  14,            0.024678,           0.0068844,           0.0022323,             0.96162,             0.95976,             0.97909,              0.7178,            0.022819,           0.0051393,           0.0034299,           0.0091956,           0.0091956,           0.0091956
                  15,             0.02457,           0.0068453,           0.0020302,             0.97954,              0.9692,             0.98539,             0.69841,            0.023322,           0.0048473,           0.0024496,           0.0091337,           0.0091337,           0.0091337
                  16,            0.024748,           0.0067549,            0.002004,             0.92851,             0.83916,             0.88118,             0.58174,            0.032591,           0.0075072,           0.0069456,           0.0090719,           0.0090719,           0.0090719
