               epoch,Origin_mAP_0.5:0.95,CBAM_mAP_0.5:0.95,
0,4.43E-05,0.08315,
1,0.013137,0.30835,
2,0.23255,0.13869,
3,0.32714,0.44209,
4,0.49707,0.55976,
5,0.52842,0.54456,
6,0.61482,0.62487,
7,0.47776,0.61892,
8,0.65913,0.70946,
9,0.67988,0.71874,
10,0.69521,0.7352,
11,0.67825,0.68419,
12,0.71021,0.73727,
13,0.71509,0.71901,
14,0.7178,0.74512,
15,0.69841,0.75393,
16,0.58174,0.74241,
17,0.72869,0.74894,
18,0.72433,0.76038,
19,0.75177,0.76127,
20,0.75098,0.7666,
21,0.74838,0.75321,
22,0.751,0.76695,
23,0.76258,0.76988,
24,0.74693,0.76742,
25,0.75926,0.77373,
26,0.75339,0.77137,
27,0.74548,0.77782,
28,0.7696,0.74679,
29,0.75803,0.77223,
30,0.74502,0.78261,
31,0.77169,0.78001,
32,0.7701,0.77615,
33,0.77916,0.78034,
34,0.77285,0.78163,
35,0.77393,0.77155,
36,0.77566,0.79121,
37,0.77737,0.79081,
38,0.77393,0.78611,
39,0.77446,0.78934,
40,0.76014,0.79217,
41,0.77719,0.79175,
42,0.77984,0.79558,
43,0.79055,0.78832,
44,0.7936,0.79233,
45,0.78356,0.79454,
46,0.78665,0.80097,
47,0.7879,0.80016,
48,0.79216,0.79455,
49,0.79035,0.79724,
50,0.79304,0.79463,
51,0.78846,0.79419,
52,0.79411,0.79487,
53,0.79213,0.80372,
54,0.79021,0.79818,
55,0.79631,0.79921,
56,0.79081,0.79936,
57,0.7916,0.80236,
58,0.78491,0.80355,
59,0.79443,0.80694,
60,0.79276,0.81152,
61,0.79919,0.80671,
62,0.79997,0.80703,
63,0.79974,0.80386,
64,0.80401,0.80243,
65,0.8005,0.79399,
66,0.80281,0.80353,
67,0.79696,0.80321,
68,0.79803,0.80537,
69,0.79763,0.80977,
70,0.80353,0.81057,
71,0.80134,0.80258,
72,0.79991,0.80795,
73,0.79777,0.80902,
74,0.80248,0.80956,
75,0.80202,0.80881,
76,0.79833,0.81123,
77,0.80525,0.81137,
78,0.80861,0.81318,
79,0.80492,0.80803,
80,0.81209,0.80898,
81,0.80291,0.81174,
82,0.80177,0.81322,
83,0.80515,0.81134,
84,0.80465,0.80834,
85,0.80668,0.8119,
86,0.80213,0.81826,
87,0.80597,0.81372,
88,0.8049,0.81553,
89,0.81076,0.8154,
90,0.80413,0.81406,
91,0.80795,0.81553,
92,0.80883,0.81496,
93,0.80701,0.81551,
94,0.80401,0.81235,
95,0.80466,0.81314,
96,0.81069,0.8125,
97,0.81002,0.81362,
98,0.81414,0.81599,
99,0.80989,0.81432,
100,0.8073,0.81596,
101,0.80652,0.81457,
102,0.8092,0.81759,
103,0.81043,0.81363,
104,0.81476,0.81586,
105,0.80909,0.81426,
106,0.81097,0.82164,
107,0.81063,0.81844,
108,0.8113,0.81725,
109,0.80933,0.81781,
110,0.81304,0.8161,
111,0.81433,0.81659,
112,0.81208,0.81835,
113,0.81243,0.81627,
114,0.81381,0.81785,
115,0.81684,0.82149,
116,0.81469,0.8181,
117,0.8152,0.81729,
118,0.81363,0.81766,
119,0.81089,0.82194,
120,0.81091,0.81664,
121,0.81232,0.81415,
122,0.81137,0.8152,
123,0.81075,0.81599,
124,0.81117,0.81564,
125,0.81479,0.8168,
126,0.80943,0.81878,
127,0.81081,0.81892,
128,0.81351,0.8174,
129,0.81136,0.81689,
130,0.81047,0.81705,
131,0.80995,0.81831,
132,0.81195,0.81992,
133,0.81246,0.81936,
134,0.81307,0.8159,
135,0.80956,0.81594,
136,0.812,0.8152,
137,0.81156,0.81721,
138,0.81177,0.81877,
139,0.81288,0.81832,
140,0.81299,0.81886,
141,0.81249,0.81846,
142,0.81209,0.8191,
143,0.81416,0.8166,
144,0.81421,0.81788,
145,0.81116,0.81795,
146,0.81135,0.81789,
147,0.81266,0.81846,
148,0.81215,0.81881,
149,0.81355,0.81807,
150,0.81246,0.81748,
151,0.81343,0.81912,
152,0.81408,0.81895,
153,0.81195,0.819,
154,0.81397,0.8188,
155,0.81373,0.82055,
156,0.81387,0.82057,
157,0.81449,0.82003,
158,0.81448,0.82105,
159,0.81437,0.82031,
