               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080464,            0.023498,            0.034688,             0.32477,             0.50627,             0.37089,             0.08315,            0.057682,             0.01205,            0.027779,           0.0032738,           0.0032738,            0.070536
                   1,            0.052338,            0.013503,            0.017996,             0.58484,             0.71969,             0.64119,             0.30835,            0.049211,           0.0075837,           0.0072705,           0.0065663,           0.0065663,            0.040495
                   2,            0.043884,           0.0091043,           0.0074411,             0.57139,             0.30404,             0.32643,             0.13869,            0.068216,            0.013419,            0.019113,           0.0098175,           0.0098175,            0.010413
                   3,            0.038992,           0.0091467,            0.006787,             0.84796,             0.69557,             0.80216,             0.44209,             0.03571,           0.0093903,           0.0086781,           0.0098144,           0.0098144,           0.0098144
                   4,            0.034428,           0.0085132,            0.005935,             0.90092,             0.85774,             0.90902,             0.55976,            0.031195,           0.0069656,           0.0044773,           0.0098144,           0.0098144,           0.0098144
                   5,            0.031044,           0.0078395,           0.0042373,             0.93706,               0.801,             0.88001,             0.54456,            0.031077,           0.0079222,           0.0058037,           0.0097525,           0.0097525,           0.0097525
                   6,             0.02988,           0.0076598,            0.004326,             0.88965,             0.80508,             0.91411,             0.62487,            0.027078,           0.0071531,           0.0086322,           0.0096906,           0.0096906,           0.0096906
                   7,             0.02746,           0.0071481,           0.0034692,             0.92491,             0.87161,             0.92984,             0.61892,            0.026622,           0.0064294,           0.0047591,           0.0096288,           0.0096288,           0.0096288
                   8,            0.027185,           0.0070821,           0.0031816,             0.98002,             0.97367,             0.98461,             0.70946,            0.023298,           0.0046555,           0.0024073,           0.0095669,           0.0095669,           0.0095669
                   9,            0.026356,           0.0069272,            0.002837,             0.97599,             0.95671,             0.97808,             0.71874,            0.022651,           0.0047102,           0.0026693,            0.009505,            0.009505,            0.009505
                  10,            0.025329,            0.006525,           0.0025125,             0.98739,              0.9608,             0.98913,              0.7352,            0.021649,           0.0045087,           0.0024324,           0.0094431,           0.0094431,           0.0094431
                  11,            0.025137,           0.0065523,           0.0024836,             0.96846,             0.89191,             0.94189,             0.68419,            0.024247,           0.0066046,           0.0032862,           0.0093813,           0.0093813,           0.0093813
                  12,            0.024069,            0.006408,           0.0024414,             0.99122,             0.98056,             0.99052,             0.73727,            0.021248,           0.0042419,           0.0014893,           0.0093194,           0.0093194,           0.0093194
                  13,            0.023945,           0.0061811,            0.002393,             0.97095,             0.96646,             0.98453,             0.71901,             0.02195,           0.0044707,           0.0025618,           0.0092575,           0.0092575,           0.0092575
                  14,             0.02297,           0.0062547,           0.0022104,             0.98534,             0.96668,             0.98507,             0.74512,            0.020183,           0.0042333,           0.0023292,           0.0091956,           0.0091956,           0.0091956
                  15,            0.022928,           0.0061276,           0.0020205,             0.98223,             0.97869,             0.98804,             0.75393,            0.020066,           0.0040869,           0.0019597,           0.0091337,           0.0091337,           0.0091337
                  16,            0.021944,           0.0061039,           0.0018673,             0.96249,             0.95805,             0.98602,             0.74241,            0.021153,           0.0044317,           0.0039354,           0.0090719,           0.0090719,           0.0090719
                  17,             0.02193,           0.0060508,           0.0017376,             0.98561,             0.98192,             0.98899,             0.74894,            0.020692,           0.0041495,           0.0018087,             0.00901,             0.00901,             0.00901
                  18,            0.021561,           0.0058989,           0.0017422,             0.97713,             0.98046,             0.98557,             0.76038,            0.020116,           0.0041736,           0.0024317,           0.0089481,           0.0089481,           0.0089481
                  19,            0.021429,           0.0057371,           0.0016848,             0.98632,             0.98368,             0.98848,             0.76127,            0.019654,           0.0040504,            0.001751,           0.0088863,           0.0088863,           0.0088863
                  20,            0.021232,           0.0059097,           0.0015575,             0.98701,             0.98615,             0.98951,              0.7666,            0.019448,           0.0040209,           0.0017475,           0.0088244,           0.0088244,           0.0088244
                  21,            0.021231,           0.0058377,           0.0017472,             0.99134,             0.96835,             0.98495,             0.75321,             0.01953,           0.0042069,           0.0020643,           0.0087625,           0.0087625,           0.0087625
                  22,            0.020644,           0.0056186,           0.0016318,             0.98487,             0.98341,             0.98756,             0.76695,            0.019169,           0.0039219,           0.0017941,           0.0087006,           0.0087006,           0.0087006
                  23,            0.020348,           0.0056155,           0.0016484,             0.98866,             0.98156,             0.99024,             0.76988,            0.019107,           0.0039476,           0.0018499,           0.0086388,           0.0086388,           0.0086388
                  24,            0.019903,           0.0055953,            0.001392,             0.98384,             0.98384,             0.99121,             0.76742,            0.019061,           0.0039679,           0.0019768,           0.0085769,           0.0085769,           0.0085769
